area,quartos,banheiros,vagas,idade,bairro,preco,anuncio
106.0,1,1,3,37,Centro,514000.0,"Casa de 106m2 no bairro Centro, com 1 quartos e 1 banheiros. 3 vaga(s) de garagem. Construcao de aproximadamente 37 anos. Passou por reforma completa no ano passado. Sem armarios, pronto para o proprietario montar do seu jeito. As janelas dao para o predio vizinho. Rua tranquila e residencial, sem movimento."
59.0,2,1,3,7,Centro,353000.0,"Casa de 59m2 no bairro Centro, com 2 quartos e 1 banheiros. 3 vaga(s) de garagem. Construcao de aproximadamente 7 anos. Cozinha e banheiros reformados ha poucos meses. Entregue sem moveis. A vista da sala e um espetaculo ao entardecer. Localizacao silenciosa, otima para quem trabalha em casa."
121.0,1,2,0,33,Cascatinha,1080000.0,"Apartamento de 121m2 no bairro Cascatinha, com 1 quartos e 2 banheiros. Sem vaga de garagem. Construcao de aproximadamente 33 anos. Cozinha e banheiros reformados ha poucos meses. Vai mobiliado, com armarios planejados em todos os comodos. Vista para os fundos do quarteirao. Rua tranquila e residencial, sem movimento."
128.0,4,1,1,16,Santa Luzia,475000.0,"Apartamento de 128m2 no bairro Santa Luzia, com 4 quartos e 1 banheiros. 1 vaga(s) de garagem. Construcao de aproximadamente 16 anos. Passou por reforma completa no ano passado. Vai mobiliado, com armarios planejados em todos os comodos. As janelas dao para o predio vizinho. Fica de frente para uma avenida de trafego intenso."
30.0,3,1,3,35,Bom Pastor,246000.0,"Casa de 30m2 no bairro Bom Pastor, com 3 quartos e 1 banheiros. 3 vaga(s) de garagem. Construcao de aproximadamente 35 anos. Cozinha e banheiros reformados ha poucos meses. Sem armarios, pronto para o proprietario montar do seu jeito. A vista da sala e um espetaculo ao entardecer. Localizacao silenciosa, otima para quem trabalha em casa."
49.0,1,3,1,21,Cascatinha,501000.0,"Apartamento de 49m2 no bairro Cascatinha, com 1 quartos e 3 banheiros. 1 vaga(s) de garagem. Construcao de aproximadamente 21 anos. Recem reformado, tudo novo. Entrega com moveis planejados e eletrodomesticos. Vista para os fundos do quarteirao. Rua tranquila e residencial, sem movimento."
99.0,1,2,3,36,Santa Luzia,379000.0,"Casa de 99m2 no bairro Santa Luzia, com 1 quartos e 2 banheiros. 3 vaga(s) de garagem. Construcao de aproximadamente 36 anos. Conservado, porem sem reformas recentes. Entrega com moveis planejados e eletrodomesticos. Andar alto, sem predios na frente, muito sol pela manha. Rua tranquila e residencial, sem movimento."
84.0,3,2,3,6,Granbery,769000.0,"Casa de 84m2 no bairro Granbery, com 3 quartos e 2 banheiros. 3 vaga(s) de garagem. Construcao de aproximadamente 6 anos. Acabamento da epoca da construcao, otimo para quem quer personalizar. Entregue sem moveis. A vista da sala e um espetaculo ao entardecer. Localizacao silenciosa, otima para quem trabalha em casa."
94.0,3,2,1,17,Cascatinha,741000.0,"Apartamento de 94m2 no bairro Cascatinha, com 3 quartos e 2 banheiros. 1 vaga(s) de garagem. Construcao de aproximadamente 17 anos. Acabamento da epoca da construcao, otimo para quem quer personalizar. Vai mobiliado, com armarios planejados em todos os comodos. Vista livre e desimpedida para a serra. Fica sobre um comercio bem movimentado."
65.0,4,3,0,12,Cascatinha,665000.0,"Apartamento de 65m2 no bairro Cascatinha, com 4 quartos e 3 banheiros. Sem vaga de garagem. Construcao de aproximadamente 12 anos. Imovel no estado original, precisa de uma atualizacao. Entrega com moveis planejados e eletrodomesticos. Vista livre e desimpedida para a serra. Rua tranquila e residencial, sem movimento."
126.0,2,3,1,11,Santa Luzia,480000.0,"Apartamento de 126m2 no bairro Santa Luzia, com 2 quartos e 3 banheiros. 1 vaga(s) de garagem. Construcao de aproximadamente 11 anos. Acabamento da epoca da construcao, otimo para quem quer personalizar. Sem armarios, pronto para o proprietario montar do seu jeito. Vista livre e desimpedida para a serra. Localizacao silenciosa, otima para quem trabalha em casa."
122.0,4,1,0,13,Cascatinha,1246000.0,"Apartamento de 122m2 no bairro Cascatinha, com 4 quartos e 1 banheiros. Sem vaga de garagem. Construcao de aproximadamente 13 anos. Passou por reforma completa no ano passado. Entrega com moveis planejados e eletrodomesticos. Vista para os fundos do quarteirao. Localizacao silenciosa, otima para quem trabalha em casa."
97.0,2,3,1,17,Granbery,769000.0,"Apartamento de 97m2 no bairro Granbery, com 2 quartos e 3 banheiros. 1 vaga(s) de garagem. Construcao de aproximadamente 17 anos. Imovel no estado original, precisa de uma atualizacao. Entregue sem moveis. Vista para os fundos do quarteirao. Localizacao silenciosa, otima para quem trabalha em casa."
134.0,4,2,2,5,Granbery,1308000.0,"Apartamento de 134m2 no bairro Granbery, com 4 quartos e 2 banheiros. 2 vaga(s) de garagem. Construcao de aproximadamente 5 anos. Conservado, porem sem reformas recentes. Sem armarios, pronto para o proprietario montar do seu jeito. Andar alto, sem predios na frente, muito sol pela manha. Rua tranquila e residencial, sem movimento."
111.0,1,3,1,31,Santa Luzia,354000.0,"Apartamento de 111m2 no bairro Santa Luzia, com 1 quartos e 3 banheiros. 1 vaga(s) de garagem. Construcao de aproximadamente 31 anos. Imovel no estado original, precisa de uma atualizacao. Sem armarios, pronto para o proprietario montar do seu jeito. As janelas dao para o predio vizinho. Proximo a uma casa de eventos, regiao movimentada a noite."
65.0,1,2,0,24,Cascatinha,507000.0,"Apartamento de 65m2 no bairro Cascatinha, com 1 quartos e 2 banheiros. Sem vaga de garagem. Construcao de aproximadamente 24 anos. Acabamento da epoca da construcao, otimo para quem quer personalizar. Entrega com moveis planejados e eletrodomesticos. Andar alto, sem predios na frente, muito sol pela manha. Fica sobre um comercio bem movimentado."
108.0,1,1,1,37,Santa Luzia,347000.0,"Apartamento de 108m2 no bairro Santa Luzia, com 1 quartos e 1 banheiros. 1 vaga(s) de garagem. Construcao de aproximadamente 37 anos. Cozinha e banheiros reformados ha poucos meses. Sem armarios, pronto para o proprietario montar do seu jeito. As janelas dao para o predio vizinho. Proximo a uma casa de eventos, regiao movimentada a noite."
61.0,2,3,2,31,Sao Mateus,411000.0,"Apartamento de 61m2 no bairro Sao Mateus, com 2 quartos e 3 banheiros. 2 vaga(s) de garagem. Construcao de aproximadamente 31 anos. Conservado, porem sem reformas recentes. Entrega com moveis planejados e eletrodomesticos. Vista livre e desimpedida para a serra. Fica de frente para uma avenida de trafego intenso."
126.0,4,1,0,6,Cascatinha,1084000.0,"Apartamento de 126m2 no bairro Cascatinha, com 4 quartos e 1 banheiros. Sem vaga de garagem. Construcao de aproximadamente 6 anos. Acabamento da epoca da construcao, otimo para quem quer personalizar. Entregue sem moveis. A vista da sala e um espetaculo ao entardecer. Rua tranquila e residencial, sem movimento."
93.0,1,3,0,3,Sao Mateus,722000.0,"Apartamento de 93m2 no bairro Sao Mateus, com 1 quartos e 3 banheiros. Sem vaga de garagem. Construcao de aproximadamente 3 anos. Passou por reforma completa no ano passado. Entrega com moveis planejados e eletrodomesticos. Vista para os fundos do quarteirao. Fica sobre um comercio bem movimentado."
89.0,2,1,3,19,Centro,362000.0,"Casa de 89m2 no bairro Centro, com 2 quartos e 1 banheiros. 3 vaga(s) de garagem. Construcao de aproximadamente 19 anos. Conservado, porem sem reformas recentes. Sem armarios, pronto para o proprietario montar do seu jeito. As janelas dao para o predio vizinho. Localizacao silenciosa, otima para quem trabalha em casa."
71.0,1,1,0,21,Centro,287000.0,"Apartamento de 71m2 no bairro Centro, com 1 quartos e 1 banheiros. Sem vaga de garagem. Construcao de aproximadamente 21 anos. Cozinha e banheiros reformados ha poucos meses. Entrega com moveis planejados e eletrodomesticos. Vista para os fundos do quarteirao. Fica sobre um comercio bem movimentado."
138.0,4,2,1,10,Santa Luzia,476000.0,"Apartamento de 138m2 no bairro Santa Luzia, com 4 quartos e 2 banheiros. 1 vaga(s) de garagem. Construcao de aproximadamente 10 anos. Imovel no estado original, precisa de uma atualizacao. Entrega com moveis planejados e eletrodomesticos. As janelas dao para o predio vizinho. Fica de frente para uma avenida de trafego intenso."
90.0,3,3,0,35,Centro,366000.0,"Apartamento de 90m2 no bairro Centro, com 3 quartos e 3 banheiros. Sem vaga de garagem. Construcao de aproximadamente 35 anos. Conservado, porem sem reformas recentes. Sem armarios, pronto para o proprietario montar do seu jeito. Vista para os fundos do quarteirao. Localizacao silenciosa, otima para quem trabalha em casa."
80.0,4,2,0,26,Santa Luzia,346000.0,"Apartamento de 80m2 no bairro Santa Luzia, com 4 quartos e 2 banheiros. Sem vaga de garagem. Construcao de aproximadamente 26 anos. Passou por reforma completa no ano passado. Vai mobiliado, com armarios planejados em todos os comodos. A vista da sala e um espetaculo ao entardecer. Rua tranquila e residencial, sem movimento."
83.0,3,1,1,33,Cascatinha,785000.0,"Apartamento de 83m2 no bairro Cascatinha, com 3 quartos e 1 banheiros. 1 vaga(s) de garagem. Construcao de aproximadamente 33 anos. Acabamento da epoca da construcao, otimo para quem quer personalizar. Vai mobiliado, com armarios planejados em todos os comodos. Andar alto, sem predios na frente, muito sol pela manha. Localizacao silenciosa, otima para quem trabalha em casa."
114.0,3,1,2,4,Cascatinha,1210000.0,"Apartamento de 114m2 no bairro Cascatinha, com 3 quartos e 1 banheiros. 2 vaga(s) de garagem. Construcao de aproximadamente 4 anos. Passou por reforma completa no ano passado. Entregue sem moveis. Andar alto, sem predios na frente, muito sol pela manha. Rua tranquila e residencial, sem movimento."
108.0,4,3,0,36,Bom Pastor,744000.0,"Apartamento de 108m2 no bairro Bom Pastor, com 4 quartos e 3 banheiros. Sem vaga de garagem. Construcao de aproximadamente 36 anos. Acabamento da epoca da construcao, otimo para quem quer personalizar. Entregue sem moveis. A vista da sala e um espetaculo ao entardecer. Rua tranquila e residencial, sem movimento."
109.0,1,3,0,9,Santa Luzia,475000.0,"Apartamento de 109m2 no bairro Santa Luzia, com 1 quartos e 3 banheiros. Sem vaga de garagem. Construcao de aproximadamente 9 anos. Conservado, porem sem reformas recentes. Vai mobiliado, com armarios planejados em todos os comodos. Andar alto, sem predios na frente, muito sol pela manha. Localizacao silenciosa, otima para quem trabalha em casa."
110.0,4,1,0,20,Bom Pastor,548000.0,"Apartamento de 110m2 no bairro Bom Pastor, com 4 quartos e 1 banheiros. Sem vaga de garagem. Construcao de aproximadamente 20 anos. Imovel no estado original, precisa de uma atualizacao. Sem armarios, pronto para o proprietario montar do seu jeito. Vista para os fundos do quarteirao. Fica de frente para uma avenida de trafego intenso."
170.0,3,2,2,19,Bom Pastor,1126000.0,"Apartamento de 170m2 no bairro Bom Pastor, com 3 quartos e 2 banheiros. 2 vaga(s) de garagem. Construcao de aproximadamente 19 anos. Imovel no estado original, precisa de uma atualizacao. Sem armarios, pronto para o proprietario montar do seu jeito. Vista livre e desimpedida para a serra. Localizacao silenciosa, otima para quem trabalha em casa."
81.0,3,1,3,36,Centro,365000.0,"Casa de 81m2 no bairro Centro, com 3 quartos e 1 banheiros. 3 vaga(s) de garagem. Construcao de aproximadamente 36 anos. Cozinha e banheiros reformados ha poucos meses. Sem armarios, pronto para o proprietario montar do seu jeito. Vista para os fundos do quarteirao. Localizacao silenciosa, otima para quem trabalha em casa."
